#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
AAC.AX,01-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,02-JAN-2015,,End Of Day,,1.455,1.47,1.45,1.47,90150,,,Verified
AAC.AX,03-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,04-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,05-JAN-2015,,End Of Day,,1.47,1.515,1.45,1.48,539016,,,Verified
AAC.AX,06-JAN-2015,,End Of Day,,1.472,1.48,1.455,1.46,148777,,,Verified
AAC.AX,07-JAN-2015,,End Of Day,,1.48,1.495,1.45,1.49,283678,,,Verified
AAC.AX,08-JAN-2015,,End Of Day,,1.5,1.525,1.475,1.51,380873,,,Verified
AAC.AX,09-JAN-2015,,End Of Day,,1.53,1.56,1.515,1.54,483142,,,Verified
AAC.AX,10-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,11-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,12-JAN-2015,,End Of Day,,1.55,1.61,1.54,1.575,682145,,,Verified
AAC.AX,13-JAN-2015,,End Of Day,,1.59,1.645,1.58,1.605,649531,,,Verified
AAC.AX,14-JAN-2015,,End Of Day,,1.62,1.625,1.55,1.58,2367098,,,Verified
AAC.AX,15-JAN-2015,,End Of Day,,1.585,1.62,1.557,1.58,518418,,,Verified
AAC.AX,16-JAN-2015,,End Of Day,,1.595,1.595,1.555,1.575,270356,,,Verified
AAC.AX,17-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,18-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,19-JAN-2015,,End Of Day,,1.595,1.595,1.555,1.575,216458,,,Verified
AAC.AX,20-JAN-2015,,End Of Day,,1.58,1.585,1.555,1.57,149588,,,Verified
AAC.AX,21-JAN-2015,,End Of Day,,1.575,1.59,1.52,1.535,822534,,,Verified
AAC.AX,22-JAN-2015,,End Of Day,,1.53,1.575,1.505,1.56,704382,,,Verified
AAC.AX,23-JAN-2015,,End Of Day,,1.565,1.61,1.565,1.59,399287,,,Verified
AAC.AX,24-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,25-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,26-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,27-JAN-2015,,End Of Day,,1.6,1.67,1.6,1.62,1322107,,,Verified
AAC.AX,28-JAN-2015,,End Of Day,,1.62,1.645,1.59,1.63,684835,,,Verified
AAC.AX,29-JAN-2015,,End Of Day,,1.63,1.665,1.62,1.635,646170,,,Verified
AAC.AX,30-JAN-2015,,End Of Day,,1.655,1.67,1.6,1.6,1153206,,,Verified
AAC.AX,31-JAN-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,01-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,02-FEB-2015,,End Of Day,,1.58,1.58,1.55,1.555,757637,,,Verified
AAC.AX,03-FEB-2015,,End Of Day,,1.57,1.575,1.535,1.565,754781,,,Verified
AAC.AX,04-FEB-2015,,End Of Day,,1.555,1.575,1.555,1.56,643487,,,Verified
AAC.AX,05-FEB-2015,,End Of Day,,1.56,1.562,1.54,1.54,584216,,,Verified
AAC.AX,06-FEB-2015,,End Of Day,,1.56,1.565,1.535,1.55,661784,,,Verified
AAC.AX,07-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,08-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,09-FEB-2015,,End Of Day,,1.55,1.55,1.52,1.53,438162,,,Verified
AAC.AX,10-FEB-2015,,End Of Day,,1.52,1.535,1.515,1.52,291931,,,Verified
AAC.AX,11-FEB-2015,,End Of Day,,1.53,1.54,1.515,1.525,505370,,,Verified
AAC.AX,12-FEB-2015,,End Of Day,,1.515,1.52,1.48,1.485,966968,,,Verified
AAC.AX,13-FEB-2015,,End Of Day,,1.51,1.525,1.49,1.51,485778,,,Verified
AAC.AX,14-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,15-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,16-FEB-2015,,End Of Day,,1.51,1.555,1.505,1.55,696152,,,Verified
AAC.AX,17-FEB-2015,,End Of Day,,1.56,1.565,1.535,1.54,259204,,,Verified
AAC.AX,18-FEB-2015,,End Of Day,,1.54,1.57,1.53,1.565,53969038,,,Verified
AAC.AX,19-FEB-2015,,End Of Day,,1.575,1.58,1.555,1.565,1289090,,,Verified
AAC.AX,20-FEB-2015,,End Of Day,,1.54,1.57,1.54,1.565,809655,,,Verified
AAC.AX,21-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,22-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,23-FEB-2015,,End Of Day,,1.57,1.58,1.55,1.565,1434298,,,Verified
AAC.AX,24-FEB-2015,,End Of Day,,1.575,1.575,1.55,1.575,760640,,,Verified
AAC.AX,25-FEB-2015,,End Of Day,,1.575,1.6,1.567,1.595,1257524,,,Verified
AAC.AX,26-FEB-2015,,End Of Day,,1.605,1.62,1.59,1.6,1007305,,,Verified
AAC.AX,27-FEB-2015,,End Of Day,,1.595,1.605,1.565,1.6,2149820,,,Verified
AAC.AX,28-FEB-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,01-MAR-2015,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,02-MAR-2015,,End Of Day,,1.6,1.6,1.56,1.59,590866,,,Verified
