#RIC,Event Date,Cash Rate,China Growth Rate Change,CEO Health issue,Earning announcements,Macroevent,Government Policy changes
AAC.AX,30-Jul-2012,0,1,0,0,0,0
AAC.AX,30-Jul-2011,1,0,0,0,0,0
AAC.AX,30-Jul-2010,0,0,0,1,0,0
AAC.AX,15-Jun-2011,0,0,1,0,0,0
BGA.AX,26-Oct-2015,0,0,1,0,0,0
BGA.AX,26-Jan-2014,0,0,0,1,0,0
BGA.AX,26-Mar-2013,0,0,0,0,1,0
CCL.AX,6-Oct-2014,0,1,0,0,0,0
CCL.AX,6-Nov-2015,0,0,0,0,1,0
CCL.AX,30-Dec-2015,0,0,1,0,0,0
CCL.AX,6-Oct-2013,0,0,0,0,0,1
CGC.AX,18-Dec-2015,0,0,0,1,0,0
CGC.AX,29-Dec-2015,0,0,0,0,1,0
CGC.AX,18-Jan-2016,0,0,1,0,0,0
CGC.AX,18-Jan-2012,0,0,0,0,0,1
ELD.AX,29-May-2012,0,0,0,1,0,0
ELD.AX,15-Jan-2012,0,0,1,0,0,0
ELD.AX,29-Oct-2012,0,0,0,0,0,1
FGL.AX,12-May-2014,0,0,0,0,1,0
FGL.AX,19-Oct-2015,0,0,0,1,0,0
FGL.AX,25-Oct-2015,0,0,1,0,0,0
FGL.AX,19-Jan-2014,0,0,0,1,0,0
FGL.AX,19-Feb-2013,0,0,0,1,0,0
GFF.AX,1-Jan-2016,0,0,0,0,1,0
GFF.AX,26-Aug-2015,0,0,0,1,0,0
GFF.AX,6-Oct-2014,0,1,0,0,0,0
GFF.AX,7-Oct-2013,0,0,1,0,0,0
GFF.AX,19-Oct-2014,0,0,0,0,0,1
GNC.AX,18-Nov-2013,0,0,0,0,1,0
GNC.AX,18-Nov-2014,0,0,1,0,0,0
GNC.AX,18-Nov-2013,0,0,0,0,0,1
SHV.AX,23-Mar-2015,0,0,0,1,0,0
SHV.AX,11-Mar-2015,0,1,0,0,0,0
TGR.AX,22-Jun-2015,0,0,0,0,1,0
TGR.AX,22-Jul-2014,0,0,1,0,0,0
TWE.AX,22-Jun-2015,0,0,0,0,1,0
TWE.AX,22-Jun-2014,0,0,0,0,0,1
RIC.AX,11-Mar-2013,0,0,0,0,0,1
RIC.AX,11-May-2012,0,0,0,0,0,1
WBA.AX,23-Jul-2014,0,0,0,1,0,0
WBA.AX,23-Jul-2014,0,1,0,0,0,0
AAC.AX,02-Nov-2011,1,0,0,0,0,0
BGA.AX,02-Nov-2011,1,0,0,0,0,0
CCL.AX,02-Nov-2011,1,0,0,0,0,0
CGC.AX,02-Nov-2011,1,0,0,0,0,0
ELD.AX,02-Nov-2011,1,0,0,0,0,0
FGL.AX,02-Nov-2011,1,0,0,0,0,0
FGL.AX,02-Nov-2011,1,0,0,0,0,0
GFF.AX,02-Nov-2011,1,0,0,0,0,0
GNC.AX,02-Nov-2011,1,0,0,0,0,0
SHV.AX,02-Nov-2011,1,0,0,0,0,0
TGR.AX,02-Nov-2011,1,0,0,0,0,0
TWE.AX,02-Nov-2011,1,0,0,0,0,0
RIC.AX,02-Nov-2011,1,0,0,0,0,0
WBA.AX,02-Nov-2011,1,0,0,0,0,0
AAC.AX,05-Dec-2012,1,0,0,0,0,0
BGA.AX,05-Dec-2012,1,0,0,0,0,0
CCL.AX,05-Dec-2012,1,0,0,0,0,0
CGC.AX,05-Dec-2012,1,0,0,0,0,0
ELD.AX,05-Dec-2012,1,0,0,0,0,0
FGL.AX,05-Dec-2012,1,0,0,0,0,0
FGL.AX,05-Dec-2012,1,0,0,0,0,0
GFF.AX,05-Dec-2012,1,0,0,0,0,0
GNC.AX,05-Dec-2012,1,0,0,0,0,0
SHV.AX,05-Dec-2012,1,0,0,0,0,0
TGR.AX,05-Dec-2012,1,0,0,0,0,0
TWE.AX,05-Dec-2012,1,0,0,0,0,0
RIC.AX,05-Dec-2012,1,0,0,0,0,0
WBA.AX,05-Dec-2012,1,0,0,0,0,0
AAC.AX,04-Feb-2015,1,0,0,0,0,0
BGA.AX,04-Feb-2015,1,0,0,0,0,0
CCL.AX,04-Feb-2015,1,0,0,0,0,0
CGC.AX,04-Feb-2015,1,0,0,0,0,0
ELD.AX,04-Feb-2015,1,0,0,0,0,0
FGL.AX,04-Feb-2015,1,0,0,0,0,0
FGL.AX,04-Feb-2015,1,0,0,0,0,0
GFF.AX,04-Feb-2015,1,0,0,0,0,0
GNC.AX,04-Feb-2015,1,0,0,0,0,0
SHV.AX,04-Feb-2015,1,0,0,0,0,0
TGR.AX,04-Feb-2015,1,0,0,0,0,0
TWE.AX,04-Feb-2015,1,0,0,0,0,0
RIC.AX,04-Feb-2015,1,0,0,0,0,0
WBA.AX,04-Feb-2015,1,0,0,0,0,0
AAC.AX,2-Mar-2016,1,0,0,0,0,0
BGA.AX,2-Mar-2016,1,0,0,0,0,0
CCL.AX,2-Mar-2016,1,0,0,0,0,0
CGC.AX,2-Mar-2016,1,0,0,0,0,0
ELD.AX,2-Mar-2016,1,0,0,0,0,0
FGL.AX,2-Mar-2016,1,0,0,0,0,0
FGL.AX,2-Mar-2016,1,0,0,0,0,0
GFF.AX,2-Mar-2016,1,0,0,0,0,0
GNC.AX,2-Mar-2016,1,0,0,0,0,0
SHV.AX,2-Mar-2016,1,0,0,0,0,0
TGR.AX,2-Mar-2016,1,0,0,0,0,0
TWE.AX,2-Mar-2016,1,0,0,0,0,0
RIC.AX,2-Mar-2016,1,0,0,0,0,0
WBA.AX,2-Mar-2016,1,0,0,0,0,0
