#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
AAC.AX,01-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,02-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,03-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,04-JAN-2010,,End Of Day,,1.48,1.5,1.47,1.48,391169,,,Verified
AAC.AX,05-JAN-2010,,End Of Day,,1.48,1.5,1.48,1.5,298327,,,Verified
AAC.AX,06-JAN-2010,,End Of Day,,1.5,1.5,1.485,1.5,332461,,,Verified
AAC.AX,07-JAN-2010,,End Of Day,,1.5,1.505,1.485,1.495,569689,,,Verified
AAC.AX,08-JAN-2010,,End Of Day,,1.5,1.5,1.485,1.5,347883,,,Verified
AAC.AX,09-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,10-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,11-JAN-2010,,End Of Day,,1.495,1.5,1.46,1.47,221036,,,Verified
AAC.AX,12-JAN-2010,,End Of Day,,1.47,1.49,1.465,1.48,179108,,,Verified
AAC.AX,13-JAN-2010,,End Of Day,,1.48,1.49,1.46,1.47,303121,,,Verified
AAC.AX,14-JAN-2010,,End Of Day,,1.475,1.475,1.445,1.46,230080,,,Verified
AAC.AX,15-JAN-2010,,End Of Day,,1.46,1.465,1.445,1.45,381523,,,Verified
AAC.AX,16-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,17-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,18-JAN-2010,,End Of Day,,1.44,1.44,1.405,1.405,596537,,,Verified
AAC.AX,19-JAN-2010,,End Of Day,,1.425,1.43,1.375,1.375,454376,,,Verified
AAC.AX,20-JAN-2010,,End Of Day,,1.435,1.435,1.405,1.41,428563,,,Verified
AAC.AX,21-JAN-2010,,End Of Day,,1.425,1.425,1.4,1.4,1264236,,,Verified
AAC.AX,22-JAN-2010,,End Of Day,,1.36,1.36,1.31,1.31,944301,,,Verified
AAC.AX,23-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,24-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,25-JAN-2010,,End Of Day,,1.3,1.38,1.28,1.375,771142,,,Verified
AAC.AX,26-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,27-JAN-2010,,End Of Day,,1.34,1.34,1.29,1.29,578795,,,Verified
AAC.AX,28-JAN-2010,,End Of Day,,1.3,1.335,1.285,1.335,385231,,,Verified
AAC.AX,29-JAN-2010,,End Of Day,,1.3,1.31,1.27,1.27,757609,,,Verified
AAC.AX,30-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,31-JAN-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,01-FEB-2010,,End Of Day,,1.275,1.285,1.25,1.26,602853,,,Verified
AAC.AX,02-FEB-2010,,End Of Day,,1.27,1.285,1.265,1.275,504592,,,Verified
AAC.AX,03-FEB-2010,,End Of Day,,1.28,1.3,1.275,1.295,539409,,,Verified
AAC.AX,04-FEB-2010,,End Of Day,,1.29,1.295,1.27,1.275,558990,,,Verified
AAC.AX,05-FEB-2010,,End Of Day,,1.26,1.3,1.235,1.3,649878,,,Verified
AAC.AX,06-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,07-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,08-FEB-2010,,End Of Day,,1.295,1.34,1.28,1.33,601811,,,Verified
AAC.AX,09-FEB-2010,,End Of Day,,1.315,1.34,1.28,1.3,306512,,,Verified
AAC.AX,10-FEB-2010,,End Of Day,,1.3,1.3,1.23,1.265,934523,,,Verified
AAC.AX,11-FEB-2010,,End Of Day,,1.27,1.28,1.24,1.25,575537,,,Verified
AAC.AX,12-FEB-2010,,End Of Day,,1.28,1.35,1.255,1.35,651818,,,Verified
AAC.AX,13-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,14-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,15-FEB-2010,,End Of Day,,1.35,1.365,1.325,1.355,516003,,,Verified
AAC.AX,16-FEB-2010,,End Of Day,,1.355,1.36,1.315,1.315,1529676,,,Verified
AAC.AX,17-FEB-2010,,End Of Day,,1.325,1.34,1.315,1.325,567877,,,Verified
AAC.AX,18-FEB-2010,,End Of Day,,1.34,1.34,1.32,1.335,622560,,,Verified
AAC.AX,19-FEB-2010,,End Of Day,,1.325,1.345,1.32,1.33,689471,,,Verified
AAC.AX,20-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,21-FEB-2010,,End Of Day,No Trades,,,,,,,,Verified
AAC.AX,22-FEB-2010,,End Of Day,,1.325,1.38,1.325,1.38,490453,,,Verified
AAC.AX,23-FEB-2010,,End Of Day,,1.365,1.415,1.345,1.385,589649,,,Verified
