#RIC,Event Date,Cash Rate,China Growth Rate Change,CEO Health issue,Earning announcements,Macroevent,Government Policy changes
AAC.AX,30-Jul-12,0,1,0,0,0,0
BGA.AX,26-Oct-15,0,0,1,0,0,0
CCL.AX,6-Oct-14,0,1,0,0,0,0
CGC.AX,18-Dec-15,0,0,0,1,0,0
ELD.AX,29-Oct-12,0,0,0,1,0,0
FGL.AX,12-May-14,0,0,0,0,1,0
FGL.AX,19-Oct-15,0,0,0,1,0,0
GFF.AX,6-Oct-14,0,1,0,0,0,0
GNC.AX,18-Nov-13,0,0,0,0,1,0
SHV.AX,23-Mar-15,0,0,0,1,0,0
TGR.AX,22-Jun-15,0,0,0,0,1,0
TWE.AX,22-Jun-15,0,0,0,0,1,0
RIC.AX,11-Mar-13,0,0,0,0,0,1
WBA.AX,23-Jul-14,0,0,0,1,0,0
AAC.AX,02-Nov-2011,1,0,0,0,0,0
BGA.AX,02-Nov-2011,1,0,0,0,0,0
CCL.AX,02-Nov-2011,1,0,0,0,0,0
CGC.AX,02-Nov-2011,1,0,0,0,0,0
ELD.AX,02-Nov-2011,1,0,0,0,0,0
FGL.AX,02-Nov-2011,1,0,0,0,0,0
FGL.AX,02-Nov-2011,1,0,0,0,0,0
GFF.AX,02-Nov-2011,1,0,0,0,0,0
GNC.AX,02-Nov-2011,1,0,0,0,0,0
SHV.AX,02-Nov-2011,1,0,0,0,0,0
TGR.AX,02-Nov-2011,1,0,0,0,0,0
TWE.AX,02-Nov-2011,1,0,0,0,0,0
RIC.AX,02-Nov-2011,1,0,0,0,0,0
WBA.AX,02-Nov-2011,1,0,0,0,0,0
AAC.AX,05-Dec-2012,1,0,0,0,0,0
BGA.AX,05-Dec-2012,1,0,0,0,0,0
CCL.AX,05-Dec-2012,1,0,0,0,0,0
CGC.AX,05-Dec-2012,1,0,0,0,0,0
ELD.AX,05-Dec-2012,1,0,0,0,0,0
FGL.AX,05-Dec-2012,1,0,0,0,0,0
FGL.AX,05-Dec-2012,1,0,0,0,0,0
GFF.AX,05-Dec-2012,1,0,0,0,0,0
GNC.AX,05-Dec-2012,1,0,0,0,0,0
SHV.AX,05-Dec-2012,1,0,0,0,0,0
TGR.AX,05-Dec-2012,1,0,0,0,0,0
TWE.AX,05-Dec-2012,1,0,0,0,0,0
RIC.AX,05-Dec-2012,1,0,0,0,0,0
WBA.AX,05-Dec-2012,1,0,0,0,0,0
AAC.AX,04-Feb-2015,1,0,0,0,0,0
BGA.AX,04-Feb-2015,1,0,0,0,0,0
CCL.AX,04-Feb-2015,1,0,0,0,0,0
CGC.AX,04-Feb-2015,1,0,0,0,0,0
ELD.AX,04-Feb-2015,1,0,0,0,0,0
FGL.AX,04-Feb-2015,1,0,0,0,0,0
FGL.AX,04-Feb-2015,1,0,0,0,0,0
GFF.AX,04-Feb-2015,1,0,0,0,0,0
GNC.AX,04-Feb-2015,1,0,0,0,0,0
SHV.AX,04-Feb-2015,1,0,0,0,0,0
TGR.AX,04-Feb-2015,1,0,0,0,0,0
TWE.AX,04-Feb-2015,1,0,0,0,0,0
RIC.AX,04-Feb-2015,1,0,0,0,0,0
WBA.AX,04-Feb-2015,1,0,0,0,0,0
AAC.AX,2-Mar-16,1,0,0,0,0,0
BGA.AX,2-Mar-16,1,0,0,0,0,0
CCL.AX,2-Mar-16,1,0,0,0,0,0
CGC.AX,2-Mar-16,1,0,0,0,0,0
ELD.AX,2-Mar-16,1,0,0,0,0,0
FGL.AX,2-Mar-16,1,0,0,0,0,0
FGL.AX,2-Mar-16,1,0,0,0,0,0
GFF.AX,2-Mar-16,1,0,0,0,0,0
GNC.AX,2-Mar-16,1,0,0,0,0,0
SHV.AX,2-Mar-16,1,0,0,0,0,0
TGR.AX,2-Mar-16,1,0,0,0,0,0
TWE.AX,2-Mar-16,1,0,0,0,0,0
RIC.AX,2-Mar-16,1,0,0,0,0,0
WBA.AX,2-Mar-16,1,0,0,0,0,0
